,slope_deg,azimuth_deg,svf,area_m2,yield_kwh_kwp
244178,27.637926759677505,10.841913952923159,0.9857325429260212,130.8591202304188,822.2918529357327
260105,22.990413659295132,9.278375186837671,0.9855639777757808,109.00008681514596,876.381516082311
7953,27.7105001885094,9.393611299050908,0.97295543410238,846.3488301178302,816.9838362664553
25405,21.378000655899015,37.92626893018826,0.9660262123357083,523.3878443864345,998.7819325556181
18592,28.00485267261859,33.71952216458314,0.9978772673538026,326.4019517227449,914.388879635396
75748,29.79465644983457,36.836367622064074,0.9768272106302758,111.61927164014278,914.2912775765598
67281,19.578538500618908,41.922359425415856,0.9768489509760393,91.51193747096843,1031.1796547327076
205462,42.34676038462139,306.293370952771,0.9972889600581826,172.74636110252973,702.6876517574652
225224,40.59180540296447,308.8776585059866,0.9800138077760107,177.6239074860745,703.9547503927143
360132,34.985079809806976,279.85592628412826,0.9955482799719965,139.07224575337523,906.4933173642588
14266,41.43345843016094,299.4784739889607,0.9996172242776564,178.53640042902526,747.6280328427216
105665,37.58432818092451,304.9739780023543,0.9892533312681626,441.7558715098367,749.9929020494773
330868,37.39547316437394,286.927113084354,0.9784408915948837,118.80295095455367,849.2656035699334
358745,37.07375074665791,311.2154038820353,0.9825350836390535,184.0116392976703,724.8343983799238
286586,38.81547779635102,301.4398978925915,0.9641085848730657,197.5271010887258,757.604882279349
220493,31.53130143351146,303.04515522734147,0.980742469990322,244.8731234386417,814.9261052955466
232729,34.142119903229755,281.98717319587803,0.999483653571197,222.99188234944796,900.252093879141
331131,44.461654759055335,286.90460819268776,0.9790443931002883,92.94360312412714,801.7095597568205
157597,37.99673130159893,286.74113731322325,0.999185589252357,78.54718618939728,846.0860006105299
238482,42.48042507207652,285.6170976173015,0.9950357470908167,272.67718405489455,822.8414282359598
286679,36.06540805699018,298.36706125286435,0.9913678626787746,83.29666278085833,796.9800896692644
299732,33.49862408776859,307.3267135713793,0.9835894069415874,184.40784165988603,776.8544907920589
